,Zip_code,Date,median_price,Sale_count
436,97007,2015-06,331400.0,116.0
437,97008,2015-06,306500.0,55.0
438,97005,2015-06,256100.0,29.0
439,97003,2015-06,249700.0,64.0
440,97006,2015-07,305300.0,79.0
441,97007,2015-07,334700.0,134.0
442,97008,2015-07,311100.0,64.0
443,97005,2015-07,259100.0,37.0
444,97003,2015-07,252200.0,73.0
445,97006,2015-08,308500.0,59.0
446,97007,2015-08,338300.0,98.0
447,97008,2015-08,317000.0,52.0
448,97005,2015-08,261900.0,35.0
449,97003,2015-08,254900.0,59.0
450,97006,2015-09,312000.0,71.0
451,97007,2015-09,341900.0,105.0
452,97008,2015-09,323200.0,49.0
453,97005,2015-09,264600.0,33.0
454,97003,2015-09,257600.0,79.0
455,97006,2015-10,314600.0,63.0
456,97007,2015-10,344800.0,89.0
457,97008,2015-10,327800.0,30.0
458,97005,2015-10,267000.0,43.0
459,97003,2015-10,259500.0,47.0
460,97006,2015-11,316800.0,60.0
461,97007,2015-11,347400.0,83.0
462,97008,2015-11,331600.0,39.0
463,97005,2015-11,270500.0,16.0
464,97003,2015-11,261400.0,31.0
465,97006,2015-12,320100.0,58.0
466,97007,2015-12,351000.0,82.0
467,97008,2015-12,336200.0,47.0
468,97005,2015-12,275300.0,19.0
469,97003,2015-12,264100.0,47.0
470,97006,2016-01,324200.0,48.0
471,97007,2016-01,354800.0,60.0
472,97008,2016-01,340300.0,27.0
473,97005,2016-01,279600.0,22.0
474,97003,2016-01,267500.0,43.0
475,97006,2016-02,327300.0,65.0
476,97007,2016-02,357800.0,53.0
477,97008,2016-02,342800.0,34.0
478,97005,2016-02,282300.0,19.0
479,97003,2016-02,269900.0,24.0
480,97006,2016-03,330300.0,75.0
481,97007,2016-03,361100.0,98.0
482,97008,2016-03,345600.0,49.0
483,97005,2016-03,285200.0,33.0
484,97003,2016-03,272300.0,33.0
485,97006,2016-04,334500.0,52.0
486,97007,2016-04,365700.0,80.0
487,97008,2016-04,350100.0,37.0
488,97005,2016-04,289900.0,37.0
489,97003,2016-04,276000.0,51.0
490,97006,2016-05,338900.0,90.0
491,97007,2016-05,370700.0,106.0
492,97008,2016-05,355000.0,49.0
493,97005,2016-05,295400.0,28.0
494,97003,2016-05,280700.0,45.0
495,97006,2016-06,342900.0,69.0
496,97007,2016-06,375500.0,98.0
497,97008,2016-06,359800.0,46.0
498,97005,2016-06,300800.0,33.0
499,97003,2016-06,285400.0,55.0
500,97006,2016-07,346400.0,79.0
501,97007,2016-07,379600.0,94.0
502,97008,2016-07,363400.0,45.0
503,97005,2016-07,305400.0,38.0
504,97003,2016-07,289600.0,65.0
505,97006,2016-08,349700.0,79.0
506,97007,2016-08,383500.0,124.0
507,97008,2016-08,366100.0,45.0
508,97005,2016-08,309200.0,35.0
509,97003,2016-08,293300.0,58.0
510,97006,2016-09,352800.0,54.0
511,97007,2016-09,387600.0,101.0
512,97008,2016-09,368800.0,63.0
513,97005,2016-09,312600.0,36.0
514,97003,2016-09,297100.0,50.0
515,97006,2016-10,355800.0,74.0
516,97007,2016-10,390700.0,82.0
517,97008,2016-10,371500.0,35.0
518,97005,2016-10,315300.0,35.0
519,97003,2016-10,300400.0,49.0
520,97006,2016-11,358700.0,72.0
521,97007,2016-11,393400.0,77.0
522,97008,2016-11,373400.0,42.0
523,97005,2016-11,317100.0,22.0
524,97003,2016-11,303300.0,35.0
525,97006,2016-12,362100.0,62.0
526,97007,2016-12,396900.0,100.0
527,97008,2016-12,376500.0,30.0
528,97005,2016-12,319600.0,31.0
529,97003,2016-12,306700.0,41.0
530,97006,2017-01,365600.0,35.0
531,97007,2017-01,400600.0,52.0
532,97008,2017-01,380100.0,25.0
533,97005,2017-01,323200.0,26.0
534,97003,2017-01,310300.0,35.0
535,97006,2017-02,368600.0,45.0
536,97007,2017-02,403100.0,68.0
537,97008,2017-02,383300.0,34.0
538,97005,2017-02,326200.0,25.0
539,97003,2017-02,313400.0,34.0
540,97006,2017-03,371200.0,45.0
541,97007,2017-03,405000.0,88.0
542,97008,2017-03,386000.0,41.0
543,97005,2017-03,328700.0,31.0
544,97003,2017-03,316600.0,43.0
545,97006,2017-04,373600.0,57.0
546,97007,2017-04,407000.0,76.0
547,97008,2017-04,389200.0,29.0
548,97005,2017-04,330900.0,27.0
549,97003,2017-04,319600.0,38.0
550,97006,2017-05,375500.0,65.0
551,97007,2017-05,408400.0,99.0
552,97008,2017-05,391200.0,40.0
553,97005,2017-05,331900.0,35.0
554,97003,2017-05,322000.0,52.0
555,97006,2017-06,375800.0,77.0
556,97007,2017-06,409200.0,121.0
557,97008,2017-06,392100.0,45.0
558,97005,2017-06,331900.0,25.0
559,97003,2017-06,323500.0,63.0
560,97006,2017-07,376600.0,47.0
561,97007,2017-07,409900.0,94.0
562,97008,2017-07,393000.0,48.0
563,97005,2017-07,332700.0,32.0
564,97003,2017-07,325000.0,41.0
565,97006,2017-08,379000.0,73.0
566,97007,2017-08,410800.0,86.0
567,97008,2017-08,394400.0,51.0
568,97005,2017-08,334600.0,48.0
569,97003,2017-08,327100.0,41.0
570,97006,2017-09,380700.0,58.0
571,97007,2017-09,411500.0,88.0
572,97008,2017-09,395200.0,33.0
573,97005,2017-09,336400.0,33.0
574,97003,2017-09,329200.0,45.0
575,97006,2017-10,380900.0,60.0
576,97007,2017-10,412200.0,92.0
577,97008,2017-10,395300.0,46.0
578,97005,2017-10,338100.0,28.0
579,97003,2017-10,331200.0,32.0
580,97006,2017-11,381400.0,55.0
581,97007,2017-11,413700.0,69.0
582,97008,2017-11,396100.0,34.0
583,97005,2017-11,340400.0,38.0
584,97003,2017-11,333300.0,38.0
585,97006,2017-12,382200.0,53.0
586,97007,2017-12,415000.0,77.0
587,97008,2017-12,397100.0,45.0
588,97005,2017-12,342500.0,25.0
589,97003,2017-12,334400.0,43.0
590,97006,2018-01,382300.0,39.0
591,97007,2018-01,416200.0,33.0
592,97008,2018-01,398300.0,23.0
593,97005,2018-01,344300.0,19.0
594,97003,2018-01,335200.0,23.0
595,97006,2018-02,382300.0,44.0
596,97007,2018-02,418600.0,72.0
597,97008,2018-02,400400.0,19.0
598,97005,2018-02,345700.0,19.0
599,97003,2018-02,336600.0,35.0
600,97006,2018-03,382900.0,54.0
601,97007,2018-03,420600.0,92.0
602,97008,2018-03,402200.0,25.0
603,97005,2018-03,346700.0,37.0
604,97003,2018-03,338300.0,43.0
605,97006,2018-04,384500.0,64.0
606,97007,2018-04,421000.0,83.0
607,97008,2018-04,403500.0,30.0
608,97005,2018-04,347600.0,35.0
609,97003,2018-04,340100.0,43.0
610,97006,2018-05,387700.0,66.0
611,97007,2018-05,421200.0,91.0
612,97008,2018-05,405600.0,44.0
613,97005,2018-05,348400.0,45.0
614,97003,2018-05,341700.0,43.0
615,97006,2018-06,392300.0,56.0
616,97007,2018-06,421900.0,105.0
617,97008,2018-06,408300.0,57.0
618,97005,2018-06,348900.0,28.0
619,97003,2018-06,343100.0,69.0
620,97006,2018-07,395500.0,55.0
621,97007,2018-07,422500.0,66.0
622,97008,2018-07,410400.0,43.0
623,97005,2018-07,349000.0,35.0
624,97003,2018-07,344600.0,54.0
625,97006,2018-08,396800.0,80.0
626,97007,2018-08,422700.0,95.0
627,97008,2018-08,411700.0,48.0
628,97005,2018-08,349100.0,40.0
629,97003,2018-08,345800.0,55.0
630,97006,2018-09,398100.0,42.0
631,97007,2018-09,422300.0,71.0
632,97008,2018-09,412300.0,39.0
633,97005,2018-09,349400.0,21.0
634,97003,2018-09,347100.0,40.0
635,97006,2018-10,400400.0,53.0
636,97007,2018-10,422300.0,75.0
637,97008,2018-10,413300.0,35.0
638,97005,2018-10,350100.0,25.0
639,97003,2018-10,348700.0,38.0
640,97006,2018-11,403700.0,49.0
641,97007,2018-11,424000.0,90.0
642,97008,2018-11,416600.0,28.0
643,97005,2018-11,351900.0,23.0
644,97003,2018-11,351400.0,27.0
645,97006,2018-12,408600.0,39.0
646,97007,2018-12,427900.0,68.0
647,97008,2018-12,421800.0,30.0
648,97005,2018-12,354900.0,25.0
649,97003,2018-12,355600.0,24.0
650,97006,2019-01,411500.0,29.0
651,97007,2019-01,431000.0,33.0
652,97008,2019-01,425500.0,26.0
653,97005,2019-01,356900.0,19.0
654,97003,2019-01,359000.0,20.0
655,97006,2019-02,410500.0,50.0
656,97007,2019-02,430800.0,51.0
657,97008,2019-02,426100.0,23.0
658,97005,2019-02,356600.0,18.0
659,97003,2019-02,359500.0,22.0
660,97006,2019-03,408600.0,51.0
661,97007,2019-03,429800.0,80.0
662,97008,2019-03,424700.0,32.0
663,97005,2019-03,355000.0,25.0
664,97003,2019-03,358000.0,34.0
665,97006,2019-04,408100.0,66.0
666,97007,2019-04,430000.0,83.0
667,97008,2019-04,422400.0,32.0
668,97005,2019-04,353400.0,28.0
669,97003,2019-04,356600.0,50.0
670,97006,2019-05,407600.0,38.0
671,97007,2019-05,430900.0,96.0
672,97008,2019-05,421400.0,41.0
673,97005,2019-05,353500.0,38.0
674,97003,2019-05,356700.0,35.0
675,97006,2019-06,406800.0,71.0
676,97007,2019-06,431800.0,102.0
677,97008,2019-06,421800.0,43.0
678,97005,2019-06,354900.0,34.0
679,97003,2019-06,358300.0,42.0
680,97006,2019-07,406000.0,56.0
681,97007,2019-07,432600.0,97.0
682,97008,2019-07,421900.0,41.0
683,97005,2019-07,355900.0,29.0
684,97003,2019-07,359700.0,43.0
