,Zip_code,Date,Sale_count
628,97005,2018-08,40.0
629,97003,2018-08,55.0
630,97006,2018-09,42.0
631,97007,2018-09,71.0
632,97008,2018-09,39.0
633,97005,2018-09,21.0
634,97003,2018-09,40.0
635,97006,2018-10,53.0
636,97007,2018-10,75.0
637,97008,2018-10,35.0
638,97005,2018-10,25.0
639,97003,2018-10,38.0
640,97006,2018-11,49.0
641,97007,2018-11,90.0
642,97008,2018-11,28.0
643,97005,2018-11,23.0
644,97003,2018-11,27.0
645,97006,2018-12,39.0
646,97007,2018-12,68.0
647,97008,2018-12,30.0
648,97005,2018-12,25.0
649,97003,2018-12,24.0
650,97006,2019-01,29.0
651,97007,2019-01,33.0
652,97008,2019-01,26.0
653,97005,2019-01,19.0
654,97003,2019-01,20.0
655,97006,2019-02,50.0
656,97007,2019-02,51.0
657,97008,2019-02,23.0
658,97005,2019-02,18.0
659,97003,2019-02,22.0
660,97006,2019-03,51.0
661,97007,2019-03,80.0
662,97008,2019-03,32.0
663,97005,2019-03,25.0
664,97003,2019-03,34.0
665,97006,2019-04,66.0
666,97007,2019-04,83.0
667,97008,2019-04,32.0
668,97005,2019-04,28.0
669,97003,2019-04,50.0
670,97006,2019-05,38.0
671,97007,2019-05,96.0
672,97008,2019-05,41.0
673,97005,2019-05,38.0
674,97003,2019-05,35.0
675,97006,2019-06,71.0
676,97007,2019-06,102.0
677,97008,2019-06,43.0
678,97005,2019-06,34.0
679,97003,2019-06,42.0
680,97006,2019-07,56.0
681,97007,2019-07,97.0
682,97008,2019-07,41.0
683,97005,2019-07,29.0
684,97003,2019-07,43.0
685,97006,seasAdj,0.0
686,97007,seasAdj,0.0
687,97008,seasAdj,0.0
688,97005,seasAdj,0.0
689,97003,seasAdj,0.0
